"IP","Year","Month","Day","Week","Date","Time","Page_Access_Method_and_Path","Path","Section","Page","Author","Response_Code","Bytes","User_Agent"
"54.39.29.64",2021,8,9,32,"2021-08-09","05:55:20","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36/iYA9HebN-7"
"54.39.29.64",2021,8,9,32,"2021-08-09","05:55:20","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36/iYA9HebN-7"
"162.221.192.26",2021,8,9,32,"2021-08-09","06:34:57","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"64.227.71.53",2021,8,9,32,"2021-08-09","09:41:27","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Linux; Android 6.0.1; CPH1607 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/63.0.3239.111 Mobile Safari/537.36"
"45.146.164.110",2021,8,9,32,"2021-08-09","12:41:13","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
"54.39.29.64",2021,8,9,32,"2021-08-09","15:15:55","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 6.3; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,9,32,"2021-08-09","15:15:56","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 6.3; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,9,32,"2021-08-09","15:15:57","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 6.3; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,9,32,"2021-08-09","15:15:57","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 6.3; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"193.118.53.202",2021,8,9,32,"2021-08-09","21:46:07","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"162.142.125.37",2021,8,9,32,"2021-08-09","22:23:40","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"34.221.36.119",2021,8,10,32,"2021-08-10","03:06:33","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"54.190.177.155",2021,8,10,32,"2021-08-10","03:07:42","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"34.212.192.11",2021,8,10,32,"2021-08-10","03:08:26","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"34.215.23.105",2021,8,10,32,"2021-08-10","03:19:23","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"54.189.240.155",2021,8,10,32,"2021-08-10","03:19:48","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"45.146.164.110",2021,8,10,32,"2021-08-10","03:54:51","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
"64.62.197.92",2021,8,10,32,"2021-08-10","05:15:24","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"71.6.232.7",2021,8,10,32,"2021-08-10","06:55:10","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","08:19:56","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.34 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","08:19:57","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.34 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","08:19:58","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.34 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","08:19:59","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.34 Safari/537.36"
"74.120.14.38",2021,8,10,32,"2021-08-10","08:53:57","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.39.29.64",2021,8,10,32,"2021-08-10","09:04:58","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","09:04:59","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","09:05:00","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","09:05:01","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"162.221.192.90",2021,8,10,32,"2021-08-10","12:07:31","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"52.211.100.54",2021,8,10,32,"2021-08-10","13:07:56","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"52.211.100.54",2021,8,10,32,"2021-08-10","13:07:56","GET /contact/ HTTP/1.1","/contact/","contact","contact","",200,15333,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"52.211.100.54",2021,8,10,32,"2021-08-10","13:07:56","GET /terms/ HTTP/1.1","/terms/","terms","terms","",200,13236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
"185.142.236.40",2021,8,10,32,"2021-08-10","16:14:21","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"128.14.133.58",2021,8,10,32,"2021-08-10","16:25:05","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"128.1.248.26",2021,8,10,32,"2021-08-10","21:03:40","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"162.142.125.54",2021,8,10,32,"2021-08-10","21:59:26","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.39.29.64",2021,8,10,32,"2021-08-10","22:28:09","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4099.2 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","22:28:10","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4099.2 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","22:28:11","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4099.2 Safari/537.36"
"54.39.29.64",2021,8,10,32,"2021-08-10","22:28:11","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4099.2 Safari/537.36"
"198.20.99.130",2021,8,10,32,"2021-08-10","22:30:58","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"45.146.164.110",2021,8,11,32,"2021-08-11","00:06:50","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
"128.1.248.42",2021,8,11,32,"2021-08-11","01:04:21","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"63.35.220.185",2021,8,11,32,"2021-08-11","01:10:22","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
"162.142.125.40",2021,8,11,32,"2021-08-11","01:11:35","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"74.120.14.39",2021,8,11,32,"2021-08-11","01:17:28","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.39.29.64",2021,8,11,32,"2021-08-11","01:42:15","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.14 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","01:42:16","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.14 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","01:42:16","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.14 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","01:42:17","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.14 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","02:19:25","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4096.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","02:19:26","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4096.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","02:19:27","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4096.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","02:19:28","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4096.0 Safari/537.36"
"34.212.23.224",2021,8,11,32,"2021-08-11","03:26:34","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"34.221.114.30",2021,8,11,32,"2021-08-11","03:26:44","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"34.221.75.15",2021,8,11,32,"2021-08-11","03:27:10","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"18.236.136.62",2021,8,11,32,"2021-08-11","03:27:13","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"64.62.197.152",2021,8,11,32,"2021-08-11","04:53:16","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"3.250.6.79",2021,8,11,32,"2021-08-11","07:38:55","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
"54.39.29.64",2021,8,11,32,"2021-08-11","08:55:18","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4089.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","08:55:19","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4089.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","08:55:20","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4089.0 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","08:55:21","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4089.0 Safari/537.36"
"128.14.134.134",2021,8,11,32,"2021-08-11","10:21:30","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"80.82.77.192",2021,8,11,32,"2021-08-11","12:50:06","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
"162.142.125.55",2021,8,11,32,"2021-08-11","14:45:30","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.39.29.64",2021,8,11,32,"2021-08-11","15:22:47","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","15:22:48","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","15:22:48","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","15:22:49","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"45.146.164.110",2021,8,11,32,"2021-08-11","17:20:05","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
"128.1.248.42",2021,8,11,32,"2021-08-11","17:28:06","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"51.158.108.61",2021,8,11,32,"2021-08-11","20:07:33","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"54.217.7.79",2021,8,11,32,"2021-08-11","20:51:20","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
"54.217.7.79",2021,8,11,32,"2021-08-11","20:57:32","GET /contact/ HTTP/1.1","/contact/","contact","contact","",200,4458,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
"54.217.7.79",2021,8,11,32,"2021-08-11","20:57:32","GET /terms/ HTTP/1.1","/terms/","terms","terms","",200,4744,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
"23.90.160.130",2021,8,11,32,"2021-08-11","22:02:13","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"18.191.183.69",2021,8,11,32,"2021-08-11","23:00:45","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36"
"185.220.101.242",2021,8,11,32,"2021-08-11","23:07:45","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Opera/9.80 (X11; Linux i686; U; ru) Presto/2.8.131 Version/11.11"
"54.39.29.64",2021,8,11,32,"2021-08-11","23:14:15","GET / HTTP/1.0","/mainpage/","main_page","main_page","",200,67370,"Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","23:14:16","GET /blog/ HTTP/1.0","/blog/","blog","main_blog_page","",200,24405,"Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","23:14:18","GET /blog/2021/03/Family-Wealth-Four-Types-Of-Capital/ HTTP/1.0","/blog/2021/03/Family-Wealth-Four-Types-Of-Capital/","blog","Family-Wealth-Four-Types-Of-Capital","Nicholas",200,34720,"Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"54.39.29.64",2021,8,11,32,"2021-08-11","23:14:18","GET /blog/Nicholas/ HTTP/1.0","/blog/Nicholas/","blog","Nicholas","",200,9717,"Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
"162.142.125.53",2021,8,11,32,"2021-08-11","23:32:05","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,67370,"-"
"176.74.192.85",2021,8,12,32,"2021-08-12","03:40:04","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
"34.221.61.238",2021,8,12,32,"2021-08-12","03:42:35","GET / HTTP/1.1","/mainpage/","main_page","main_page","",200,12363,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
